"标准部门",科目(原),科目(内),科目(外),班级编码,班级名称（外）,班级名称（内）,班级类型名称,班级课次数,总课次,班级时长,实际时长,单次课时长,教材费,产品品类,产品品类(原),产品体系(原),产品体系,课程产品名称,课程产品名称(外),合班状态,合班详情,续班类型,年级(原),年级序数,年级(外),班级标价,主带课老师,关联班号,季度,季度(外),班级状态,开课日期,实际开课日期,班级审核状态,上课形式,授课方式,授课方式(原),授课渠道,最大人数,设班日期,上课时间(外),教材发放形式,实际结课日期,当前人数(占名额),最小发薪部门,上课地点(外),上课教室,考勤方式,班容名称,管理项目,校区名称,结课日期,保底人数,开班人数,课程名称
"素养智学部",双语故事表演,双语故事表演,双语故事表演,PMS327B0001A,双语绘本K（秋）,双语故事表演S3秋季上B1班,通用,4,4,360,360,90.0,"	0.00",S3,S3,常规体系,常规体系,双语故事表演S3秋季上B1班,S3双语故事表演秋季上S3班,否,,连季续,S3,S3,S3,630.00,胡钰(694156),PMS327B0001B,秋季上,秋季上,正常,2026-09-05,2026-09-05,已审核,走读,常规面授,常规面授,,15,2026-02-27,周六09:00-10:30,"有教材,开课前领取",2026-09-26,9,素养素质(智学),洋湖新城317教室,洋湖新城317教室,班级刷卡,15人,素养,洋湖新城教学区,2026-09-26,10,12,分级阅读K
"国外考试部",全科,"阅读,写作,词汇,听力,口语,语法",,MSC2743,雅思直通车初级课程（Pro）,雅思直通车初级课程（FY26Q2）,IELTS直通车,48,48,5760,5760,120.0,454.00,IELTS,IELTS,常规体系,常规体系,雅思直通车初级课程,雅思直通车初级课程,否,,可续,,,,19800.00,,,"春季,暑假,秋季,寒假",,正常,2026-09-13,2026-09-13,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,9,2026-05-08,"每周日08:00-10:00, 10:10-12:10，寒假集中上课","有教材,开课前领取",2027-01-29,9,国外考试部,芙蓉广场教学区,芙蓉广场虚拟教室（16楼大会议室）,班级刷卡,6人,国外考试部,芙蓉广场教学区,2027-01-29,3,4,
"素养智学部",双语故事表演,双语故事表演,双语故事表演,PM527B0025A,双语绘本C5（秋）,双语故事表演L5秋季上B2班,通用,4,4,440,440,110.0,"	0.00",L5,L5,常规体系,常规体系,双语故事表演L5秋季上B2班,五年级双语故事表演秋季上L5班,否,,连季续,五年级,五年级,五年级,800.00,王静静(252025),PM527B0025B,秋季上,秋季上,正常,2026-09-06,2026-09-06,已审核,走读,常规面授,常规面授,,20,2026-02-27,周日16:00-17:50,"有教材,开课前领取",2026-10-06,20,素养素质(智学),井湾子教学区215教室,井湾子教学区215教室,班级刷卡,15人,素养,井湾子教学区,2026-10-04,10,12,故事会5
"素养智学部",双语故事表演,双语故事表演,双语故事表演,PM527B0050A,双语绘本C5（秋）,双语故事表演L5秋季上B2班,通用,4,4,440,440,110.0,"	0.00",L5,L5,常规体系,常规体系,双语故事表演L5秋季上B2班,五年级双语故事表演秋季上L5班,否,,连季续,五年级,五年级,五年级,800.00,王静静(252025),PM527B0050B,秋季上,秋季上,正常,2026-09-04,2026-09-04,已审核,走读,常规面授,常规面授,,18,2026-02-27,周五18:40-20:30,"有教材,开课前领取",2026-09-22,14,素养素质(智学),井湾子教学区215教室,井湾子教学区215教室,班级刷卡,15人,素养,井湾子教学区,2026-09-25,10,12,故事会5
"素养智学部",双语故事表演,双语故事表演,双语故事表演,PM327B0010A,双语绘本3B（秋）,双语故事表演L3秋季上B2班,通用,4,4,440,440,110.0,"	0.00",L3,L3,常规体系,常规体系,双语故事表演L3秋季上B2班,三年级双语故事表演秋季上L3班,否,,连季续,三年级,三年级,三年级,800.00,胡钰(694156),PM327B0010B,秋季上,秋季上,正常,2026-09-06,2026-09-06,已审核,走读,常规面授,常规面授,,18,2026-02-27,周日10:40-12:30,"有教材,开课前领取",2026-10-06,16,素养素质(智学),洋湖卓伯根208教室,洋湖卓伯根208教室,班级刷卡,15人,素养,洋湖卓伯根教学区,2026-10-06,10,12,分级阅读3
"素养智学部",双语故事表演,双语故事表演,双语故事表演,PM227B0180A,双语绘本2C（秋）,双语故事表演L2秋季上B2班,通用,4,4,440,440,110.0,"	0.00",L2,L2,常规体系,常规体系,双语故事表演L2秋季上B2班,二年级双语故事表演秋季上L2班,否,,连季续,二年级,二年级,二年级,840.00,夏蓉(443731),PM227B0180B,秋季上,秋季上,正常,2026-09-06,2026-09-06,已审核,走读,常规面授,常规面授,,16,2026-02-27,周日10:40-12:30,"有教材,开课前领取",2026-10-06,15,素养素质(智学),西子花苑旗舰店208教室,西子花苑旗舰店208教室,班级刷卡,15人,素养,西子花苑旗舰店教学区,2026-10-04,10,12,分级阅读2
"素养智学部",双语故事表演,双语故事表演,双语故事表演,PM127B0031A,双语绘本1C（秋）,双语故事表演L1秋季上B2班,通用,4,4,440,440,110.0,"	0.00",L1,L1,常规体系,常规体系,双语故事表演L1秋季上B2班,一年级双语故事表演秋季上L1班,否,,连季续,一年级,一年级,一年级,840.00,佘语嫣(618513),PM127B0031B,秋季上,秋季上,正常,2026-09-05,2026-09-05,已审核,走读,常规面授,常规面授,,16,2026-02-27,周六10:40-12:30,"有教材,开课前领取",2026-09-26,16,素养素质(智学),雨花家园302教室,雨花家园302教室,班级刷卡,15人,素养,雨花家园教学区,2026-09-26,10,12,分级阅读1
"素养智学部",博文妙笔,博文妙笔,博文妙笔,BW627B0028A,博文口才 6（秋）,博文妙笔L6秋季上B1班,通用,4,4,440,440,110.0,"	0.00",L6,L6,常规体系,常规体系,博文妙笔L6秋季上B1班,六年级博文妙笔秋季上L6班,否,,连季续,六年级(小学),六年级,六年级,800.00,杨颖帆(612649),BW627B0028B,秋季上,秋季上,正常,2026-09-05,2026-09-05,已审核,走读,常规面授,常规面授,,18,2026-02-27,周六10:40-12:30,"有教材,开课前领取",2026-09-26,23,素养素质(智学),湘江世纪城304教室,湘江世纪城304教室,班级刷卡,15人,素养,湘江世纪城教学区,2026-09-26,10,12,语商表达6
"素养智学部",博文妙笔,博文妙笔,博文妙笔,BW427B0029A,博文口才 4（秋）,博文妙笔L4秋季上B1班,通用,4,4,440,440,110.0,"	0.00",L4,L4,常规体系,常规体系,博文妙笔L4秋季上B1班,四年级博文妙笔秋季上L4班,否,,连季续,四年级,四年级,四年级,800.00,杨易佳慧(265407),BW427B0029B,秋季上,秋季上,正常,2026-09-06,2026-09-06,已审核,走读,常规面授,常规面授,,18,2026-02-27,周日13:50-15:40,"有教材,开课前领取",2026-10-06,12,素养素质(智学),北辰107教室,北辰107教室,班级刷卡,15人,素养,北辰教学区,2026-10-04,10,12,语商表达4
"素养智学部",博文妙笔,博文妙笔,博文妙笔,BW527B0004A,博文口才 5（秋）,博文妙笔L5秋季上B1班,通用,4,4,440,440,110.0,"	0.00",L5,L5,常规体系,常规体系,博文妙笔L5秋季上B1班,五年级博文妙笔秋季上L5班,否,,连季续,五年级,五年级,五年级,800.00,杨易佳慧(265407),BW527B0004B,秋季上,秋季上,正常,2026-09-06,2026-09-06,已审核,走读,常规面授,常规面授,,18,2026-02-27,周日16:00-17:50,"有教材,开课前领取",2026-10-06,18,素养素质(智学),北辰107教室,北辰107教室,班级刷卡,15人,素养,北辰教学区,2026-10-04,10,12,语商表达5
