"标准部门",科目(原),科目(内),科目(外),班级编码,班级名称（外）,班级名称（内）,班级类型名称,班级课次数,总课次,班级时长,实际时长,单次课时长,教材费,产品品类,产品品类(原),产品体系(原),产品体系,课程产品名称,课程产品名称(外),合班状态,合班详情,续班类型,年级(原),年级序数,年级(外),班级标价,主带课老师,关联班号,季度,季度(外),班级状态,开课日期,实际开课日期,班级审核状态,上课形式,授课方式,授课方式(原),授课渠道,最大人数,设班日期,上课时间(外),教材发放形式,实际结课日期,当前人数(占名额),最小发薪部门,上课地点(外),上课教室,考勤方式,班容名称,管理项目,校区名称,结课日期,保底人数,开班人数,课程名称
"国外考试部",全科,"阅读,写作,听力,口语",,MKY275,英联邦非标课程,英联邦非标课程（雅思模考赠送）,非标班型（英联邦）,5,7,660,660,132.0,"	0.00",非标项目,非标项目,专项体系,专项体系,英联邦非标课程,英联邦非标课程,否,,可续,,,,100.00,彭越(669742),,暑假,,正常,2026-08-21,2026-08-21,已审核,走读,常规面授,常规面授,,25,2026-06-27,8.22上午笔试，口试时间见课表,无教材,2026-08-22,2,国外考试部,芙蓉广场教学区,芙蓉广场VIP22-虚拟1,班级刷卡,25人,国外考试部,芙蓉广场教学区,2026-08-22,13,14,
"国外考试部",全科,"阅读,写作,听力,口语",,MKY276,英联邦非标课程,英联邦非标课程（雅思模考赠送）,非标班型（英联邦）,5,5,660,660,132.0,"	0.00",非标项目,非标项目,专项体系,专项体系,英联邦非标课程,英联邦非标课程,否,,可续,,,,100.00,,,暑假,,正常,2026-08-27,2026-08-27,已审核,走读,常规面授,常规面授,,25,2026-06-27,8.27下午笔试，口试时间见课表,无教材,2026-08-29,3,国外考试部,芙蓉广场教学区,芙蓉广场VIP22-虚拟2,班级刷卡,25人,国外考试部,芙蓉广场教学区,2026-08-29,13,14,
"国外考试部",全科,"阅读,写作,听力,口语",,GYSY2011A,Global Primary外语2A,Global Primary外语2A 上（FY26）,Global Primary 英语,8,8,960,960,120.0,120.00,国际教育,国际教育,常规体系,常规体系,Global Primary外语2A 上,Global Primary外语2A 上,否,,可续,,,,3300.00,王聪(373277),,暑假,,正常,2026-08-14,2026-08-14,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,7,2025-09-29,春秋周日13:30-15:30，寒暑集中上课,"有教材,开课前领取",2026-08-22,6,国际教育青少部,芙蓉广场教学区,芙蓉广场5-07教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2026-08-22,3,4,
"国外考试部",全科,"阅读,写作,听力,口语",,GYSY3005C,Global Primary外语3C,Global Primary外语3B 上（FY26）,Global Primary 英语,8,8,960,960,120.0,120.00,国际教育,国际教育,常规体系,常规体系,Global Primary外语3B 上,Global Primary外语3B 上,否,,可续,,,,3300.00,文萱妮(638361),,暑假,,正常,2026-08-14,2026-08-14,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,7,2025-03-19,"春秋季每周日13:30-15:30, 寒暑假集中上课","有教材,开课前领取",2026-08-22,6,国际教育青少部,芙蓉广场,芙蓉广场5-05教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2026-08-22,3,4,
"国外考试部",全科,"阅读,写作,听力,口语",,GYBF1014C,Global Primary外语1C,Global Primary外语1B 上（FY26）,Global Primary 英语,8,8,960,960,120.0,120.00,国际教育,国际教育,常规体系,常规体系,Global Primary外语1B 上,Global Primary外语1B 上,否,,可续,,,,3300.00,戴甜(661131),,暑假,,正常,2026-08-14,2026-08-14,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,10,2025-11-29,"春秋季周日10:30-12:30，寒暑假集中上课 ","有教材,开课前领取",2026-08-22,5,国际教育青少部,"八方24品 ",八方309教室,班级刷卡,6人,国外考试部,八方24品教学区,2026-08-22,3,4,
"国外考试部",全科,"阅读,写作,听力,口语",,GYDT1005C,Global Primary外语1C,Global Primary外语1B 上（FY26）,Global Primary 英语,8,8,960,960,120.0,120.00,国际教育,国际教育,常规体系,常规体系,Global Primary外语1B 上,Global Primary外语1B 上,否,,可续,,,,3300.00,丁顺(132248),,暑假,,正常,2026-08-14,2026-08-14,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,8,2025-03-19,"春秋周日 13:30~15:30,寒暑假集中上课","有教材,开课前领取",2026-08-22,7,国际教育青少部,东塘,东塘A3教室,班级刷卡,6人,国外考试部,东塘中设广场教学区,2026-08-22,3,4,
"国外考试部",全科,"阅读,写作,听力,口语",,GYSY1021A,Global Primary外语1A,Global Primary外语1A 上（FY26）,Global Primary 英语,8,8,960,960,120.0,120.00,国际教育,国际教育,常规体系,常规体系,Global Primary外语1A 上,Global Primary外语1A 上,否,,可续,,,,3300.00,戴莎(616592),,暑假,,正常,2026-08-13,2026-08-13,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,10,2026-03-20,春秋季周日16:00-18:00，寒暑假集中上课,"有教材,开课前领取",2026-08-21,4,国际教育青少部,芙蓉广场,芙蓉广场5-06教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2026-08-21,3,4,
"国外考试部",全科,"阅读,写作,听力,口语",,GYBF2004A,Global Primary外语2A,Global Primary外语2A 上（FY26）,Global Primary 英语,8,8,960,960,120.0,120.00,国际教育,国际教育,常规体系,常规体系,Global Primary外语2A 上,Global Primary外语2A 上,否,,可续,,,,3300.00,曹婷(652742),,暑假,,正常,2026-08-14,2026-08-14,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,7,2025-09-29,春秋周日08:00-10:00，寒暑集中上课,"有教材,开课前领取",2026-08-22,7,国际教育青少部,八方24品,八方307教室,班级刷卡,6人,国外考试部,八方24品教学区,2026-08-22,3,4,
"国外考试部",全科,"英语,阅读,听力,口语,英语语言写作,综合能力,综合听说,综合读写",,GYSY00011A,Global Primary外语Starter 上,Global Primary外语Starter 上（FY26版本2）,Global Primary 英语,8,8,960,960,120.0,120.00,国际教育,国际教育,常规体系,常规体系,Global Primary外语Starter 上,Global Primary外语Starter 上,否,,可续,,,,3300.00,文萱妮(638361),,暑假,,正常,2026-08-13,2026-08-13,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,8,2026-03-20,春秋季周日16:00-18:00，寒暑假集中上课,"有教材,开课前领取",2026-08-21,5,国际教育青少部,芙蓉广场,芙蓉广场5-02教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2026-08-21,3,4,
"国外考试部",全科,"英语,阅读,听力,口语,英语语言写作,综合能力,综合听说,综合读写",,GYBF00013A,Global Primary外语Starter 上,Global Primary外语Starter 上（FY26版本2）,Global Primary 英语,8,8,960,960,120.0,120.00,国际教育,国际教育,常规体系,常规体系,Global Primary外语Starter 上,Global Primary外语Starter 上,否,,可续,,,,3300.00,王佳卉(369072),,暑假,,正常,2026-08-17,2026-08-17,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,10,2026-04-11,春秋周日16:00-18:00，寒暑集中上课,"有教材,开课前领取",2026-08-25,6,国际教育青少部,八方24品,八方311教室,班级刷卡,6人,国外考试部,八方24品教学区,2026-08-25,3,4,
