"标准部门",科目(原),科目(内),科目(外),班级编码,班级名称（外）,班级名称（内）,班级类型名称,班级课次数,总课次,班级时长,实际时长,单次课时长,教材费,产品品类,产品品类(原),产品体系(原),产品体系,课程产品名称,课程产品名称(外),合班状态,合班详情,续班类型,年级(原),年级序数,年级(外),班级标价,主带课老师,关联班号,季度,季度(外),班级状态,开课日期,实际开课日期,班级审核状态,上课形式,授课方式,授课方式(原),授课渠道,最大人数,设班日期,上课时间(外),教材发放形式,实际结课日期,当前人数(占名额),最小发薪部门,上课地点(外),上课教室,考勤方式,班容名称,管理项目,校区名称,结课日期,保底人数,开班人数,课程名称
"国外考试部",全科,"阅读,写作,词汇,听力,口语",,TZZ2707,托福直通车中级提高班（新）,托福直通车中级提高班（FY26）,TOEFL直通车,60,60,7200,7200,120.0,60.00,TOEFL,TOEFL,常规体系,常规体系,托福直通车中级提高班,托福直通车中级提高班,否,,可续,,,,23800.00,蔡蓓(036158),,"春季,暑假,秋季,寒假",,正常,2026-09-13,2026-09-13,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,0,2026-08-07,"秋季周日上午08:00-10:00,10:10-12:10，寒假集中上课","有教材,开课前领取",2027-02-04,0,国外考试部,芙蓉广场教学区,芙蓉广场16-A11教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2027-02-04,3,4,
"国外考试部",全科,"阅读,写作,词汇,听力,口语,语法",,MSZ2746,雅思直通车中级课程（Pro）,雅思直通车中级课程（FY26Q2）,IELTS直通车,48,48,5760,5760,120.0,436.00,IELTS,IELTS,常规体系,常规体系,雅思直通车中级课程,雅思直通车中级课程,否,,可续,,,,19800.00,罗琬仪(273952),,"春季,暑假,秋季,寒假",,正常,2026-09-12,2026-09-12,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,6,2026-08-07,"周六13:30-15:30,15:40-17:40，寒假集中上课
","有教材,开课前领取",2027-01-29,5,国外考试部,芙蓉广场教学区,芙蓉广场16-A1教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2027-01-29,3,4,
"国外考试部",全科,"阅读,写作,词汇,听力,口语,语法",,MSZ2747,雅思直通车中级课程（Pro）,雅思直通车中级课程（FY26Q2）,IELTS直通车,48,48,5760,5760,120.0,436.00,IELTS,IELTS,常规体系,常规体系,雅思直通车中级课程,雅思直通车中级课程,否,,可续,,,,19800.00,罗琬仪(273952),,"春季,暑假,秋季,寒假",,正常,2026-10-25,2026-10-25,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,0,2026-08-23,"每周日13:30-15:30, 15:40-17:40，寒假集中上课","有教材,开课前领取",2027-02-04,0,国外考试部,芙蓉广场教学区,芙蓉广场16-A5教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2027-02-04,3,4,
"国外考试部",全科,"阅读,写作,词汇,听力,口语,语法",,YSY2732,雅思预备班,雅思预备班（FY26）,IELTS直通车,48,48,5760,5760,120.0,158.00,IELTS,IELTS,常规体系,常规体系,雅思预备班,雅思预备班,否,,可续,,,,15800.00,冯佳晨(705240),,"春季,暑假,秋季,寒假",,正常,2026-09-13,2026-09-13,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,9,2026-08-01,"周日08:00-10:00,10:10-12:10，寒假集中上课","有教材,开课前领取",2027-01-29,1,国外考试部,芙蓉,芙蓉广场16-A10教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2027-01-29,3,4,
"国外考试部",全科,"阅读,写作,听力,口语,综合能力,听口能力,综合听说,综合读写",,CY2702,成人英语服务卡课程（FY26）,成人英语服务卡课程（FY26）,非标班型（英联邦）,30,30,3600,3600,120.0,"	0.00",非标项目,非标项目,专项体系,专项体系,成人英语服务卡课程,成人英语服务卡课程,否,,可续,,,,12300.00,,,"春季,暑假,秋季,寒假",,正常,2026-09-26,2026-09-26,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,10,2026-08-30,详见课表,无教材,2027-01-06,0,国外考试部,八方,八方306教室,班级刷卡,6人,国外考试部,八方24品教学区,2027-01-06,3,4,
"国外考试部",全科,"阅读,写作,听力,口语",,FB2703,雅思大学生封闭营费用(送北京GRE集训营),雅思大学生封闭营费用,IELTS直通车,1,1,60,60,60.0,"	0.00",JF6,JF6,计费体系,计费体系,雅思大学生封闭营费用,雅思大学生封闭营费用,否,,,,,,19800.00,,,暑假,,正常,2026-08-25,2026-08-25,已审核,住宿,集训营,住宿班,,1,2026-08-07,待定,无教材,2026-08-25,1,国外考试部,天马教学区,天马07教室,不使用一卡通,25人,国外考试部,天马教学区,2026-08-25,13,14,
"国外考试部",全科,"阅读,写作,听力,口语",,YZG2743A,雅思大学生直通车高级班（A）,雅思大学生直通车高级班（FY26-A）,IELTS直通车,32,48,3840,3840,120.0,"	0.00",IELTS,IELTS,常规体系,常规体系,雅思大学生直通车高级班,雅思大学生直通车高级班,否,,可续,,,,12800.00,张淼依(246195),,暑假,,正常,2026-08-12,2026-08-12,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,10,2026-08-04,"周一至周六08:00-10:00,10:10-12:10,13:30-15:30","有教材,开课前领取",2026-08-29,10,国外考试部,天马教学区,天马07教室,班级刷卡,6人,国外考试部,天马教学区,2026-08-29,4,5,
"国外考试部",全科,"阅读,写作,听力,口语",,YZG2748B,雅思大学生直通车高级班（B）,雅思大学生直通车高级班（FY26-B）,IELTS直通车,32,48,3840,3840,120.0,"	0.00",IELTS,IELTS,常规体系,常规体系,雅思大学生直通车高级班,雅思大学生直通车高级班,否,,可续,,,,12800.00,周映宏(623672),,暑假,,正常,2026-08-24,2026-08-24,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,10,2026-08-06,"周一至周六08:00-10:00,10:10-12:10,13:30-15:30","有教材,开课前领取",2026-09-10,10,国外考试部,芙蓉广场教学区,芙蓉广场16-A3教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2026-09-10,4,5,
"国外考试部",全科,"AMC10,AMC12",,AMC2701,AMC课程（AMC10）,AMC课程（AMC8）,非标班型（英联邦）,10,10,1200,1200,120.0,"	0.00",学术课程,学术课程,常规体系,常规体系,AMC课程,AMC课程,否,,可续,,,,4980.00,潘志杰(400685),,暑假,,正常,2026-08-27,2026-08-27,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室小班（25人以下）,10,2026-08-10,8.27-8.29下午13:30-15:30上课，秋季每周五18:30-20:30,无教材,2026-09-27,4,国外考试部,芙蓉广场教学区,芙蓉广场16-A11教室,班级刷卡,6人,国外考试部,芙蓉广场教学区,2026-09-27,3,4,
"国外考试部",全科,"阅读,写作,听力,口语",,FD2704,英联邦非标课程（芙蓉校区口语陪练）,英联邦非标课程（校区口语陪练）,非标班型（英联邦）,80,80,9600,9600,120.0,"	0.00",非标项目,非标项目,专项体系,专项体系,英联邦非标课程,英联邦非标课程,否,,可续,,,,6400.00,,,暑假,,正常,2026-08-24,2026-08-24,已审核,"走读,在线","常规面授,在线直播",在线直播,云教室精品班（25人以上）,40,2026-08-20,待定,无教材,2026-11-11,4,国外考试部,芙蓉广场教学区,芙蓉广场16-B3教室,班级刷卡,40人以上,国外考试部,芙蓉广场教学区,2026-11-11,12,21,
